Project Description,Location,Contractor,Cost,Completion Date,,Description,Start_Date,Contractor,Contract_Cost,Location,Region,Category,FY
"Construction of Flood Mitigation Structure along Agusan River (Dankias Section) Package 1, Butuan City",AGUSAN DEL NORTE,ME 3 CONSTRUCTION,"137,272,357.59",05/30/2025,REPORT,"Construction of Flood Mitigation Structure along Agusan River (Dankias Section) Package 1, Butuan City",05/08/2024,"CONTRACTOR:
ME 3 CONSTRUCTION","CONTRACT COST: 137,272,357.59","AGUSAN DEL NORTE (8.759608 , 125.582470)",Region XIII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Bank Protection, Lower Agusan River, Barangay Golden Ribbon, Butuan City",AGUSAN DEL NORTE,RAMISES CONSTRUCTION,"96,158,174.50",05/30/2025,REPORT,"Construction of Bank Protection, Lower Agusan River, Barangay Golden Ribbon, Butuan City",02/12/2025,"CONTRACTOR:
RAMISES CONSTRUCTION","CONTRACT COST: 96,158,174.50","AGUSAN DEL NORTE (8.939416 , 125.543115)",Region XIII,Construction of Flood Mitigation Structure,FY 2025
"Construction of Flood Mitigation Structure along Orani River, Orani, Bataan",BATAAN,ORANI CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY:ORANI BUILDERS & SUPPLY),"48,999,998.54",05/28/2025,REPORT,"Construction of Flood Mitigation Structure along Orani River, Orani, Bataan",05/20/2024,"CONTRACTOR:
ORANI CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY:ORANI BUILDERS & SUPPLY)","CONTRACT COST: 48,999,998.54","BATAAN (14.791850 , 120.531460)",Region III,Construction of Revetment,FY 2024
"Construction of Flood Control Dike along Kabacan River Sta. 48 + 620 - Sta. 48 + 944 L/S, Barangay Doles, Magpet, Cotabato",COTABATO (NORTH COTABATO),MAER SUMMIT KONSTRUKT CO.,"96,017,492.67",05/27/2025,REPORT,"Construction of Flood Control Dike along Kabacan River Sta. 48 + 620 - Sta. 48 + 944 L/S, Barangay Doles, Magpet, Cotabato",07/03/2024,"CONTRACTOR:
MAER SUMMIT KONSTRUKT CO.","CONTRACT COST: 96,017,492.67","COTABATO (NORTH COTABATO) (7.122604 , 125.101966)",Region XII,Construction of Dike,FY 2024
"Construction of Drainage Structure, Barangay Sacsac, Consolacion, Cebu",CEBU,XLA CONSTRUCTION,"4,939,190.15",05/27/2025,REPORT,"Construction of Drainage Structure, Barangay Sacsac, Consolacion, Cebu",02/17/2025,"CONTRACTOR:
XLA CONSTRUCTION","CONTRACT COST: 4,939,190.15","CEBU (10.397052 , 123.928082)",Region VII,Construction of Drainage Structure,FY 2025
"Construction of River Control Structure, Bucayao River, Managpi Section, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,CEFF TRADING & ENGINEERING SERVICES,"19,299,949.90",05/27/2025,REPORT,"Construction of River Control Structure, Bucayao River, Managpi Section, Calapan City, Oriental Mindoro",03/13/2025,"CONTRACTOR:
CEFF TRADING & ENGINEERING SERVICES","CONTRACT COST: 19,299,949.90","ORIENTAL MINDORO (13.319722 , 121.205833)",Region IV-B,Construction of Flood Mitigation Structure,FY 2025
"Construction of Drainage System, Mag-Asawang Tubig RIS, Naujan, Oriental Mindoro",ORIENTAL MINDORO,CEFF TRADING & ENGINEERING SERVICES / JUWAWI CORPORATION,"14,699,999.28",05/26/2025,REPORT,"Construction of Drainage System, Mag-Asawang Tubig RIS, Naujan, Oriental Mindoro",02/18/2025,"CONTRACTOR:
CEFF TRADING & ENGINEERING SERVICES / JUWAWI CORPORATION","CONTRACT COST: 14,699,999.28","ORIENTAL MINDORO (12.154167 , 122.009167)",Region IV-B,Construction of Drainage Structure,FY 2025
"Construction of Flood Mitigation Structure along Cagayan de Oro City-Dominorog-Camp Kibaritan Rd, (Upstream and Downstream) of Pigcutin Bridge, Talakag, Bukidnon",BUKIDNON,VEN RAY CONSTRUCTION CORPORATION,"96,500,000.00",05/23/2025,REPORT,"Construction of Flood Mitigation Structure along Cagayan de Oro City-Dominorog-Camp Kibaritan Rd, (Upstream and Downstream) of Pigcutin Bridge, Talakag, Bukidnon",02/12/2024,"CONTRACTOR:
VEN RAY CONSTRUCTION CORPORATION","CONTRACT COST: 96,500,000.00","BUKIDNON (8.035991 , 124.623852)",Region X,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure along Pampanga River, Barangay Pagas, Cabanatuan City, Nueva Ecija",NUEVA ECIJA,CELSO C. FERRER CONSTRUCTION CORP.,"95,052,371.10",05/23/2025,REPORT,"Construction of Flood Mitigation Structure along Pampanga River, Barangay Pagas, Cabanatuan City, Nueva Ecija",02/20/2025,"CONTRACTOR:
CELSO C. FERRER CONSTRUCTION CORP.","CONTRACT COST: 95,052,371.10","NUEVA ECIJA (15.500144 , 120.949206)",Region III,Construction of Flood Mitigation Structure,FY 2025
"Construction of Slope Protection Structure along Buenavista Creek at TASMORIS, Tarlac City, Tarlac",TARLAC,BIG BERTHA CONSTRUCTION & DEVELOPMENT,"14,229,719.67",05/22/2025,REPORT,"Construction of Slope Protection Structure along Buenavista Creek at TASMORIS, Tarlac City, Tarlac",01/27/2025,"CONTRACTOR:
BIG BERTHA CONSTRUCTION & DEVELOPMENT","CONTRACT COST: 14,229,719.67","TARLAC (15.427456 , 120.613964)",Region III,Construction of Slope Protection Structure,FY 2025
